Table 1,,,,,,,,
serialNo,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,standard_price,
DH-1000042,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางหูแหนบ,-,,
DH-1000013,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางหูแหนบ,-,,
DH-1000025,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางหูแหนบ,หลัง,,
AC-0000021,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),จานดิสเบรค,หน้า,800.00,
AC-0000061,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),จานดิสเบรค,หน้า,650.00,
AE-0000005,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),กระบอกเบรค,หลัง,580.00,
AE-0000034,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),กระบอกเบรค,หลัง,350.00,
AE-0000044,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),กระบอกเบรค,หลังขวา,,
AE-0000045,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),กระบอกเบรค,หลังซ้าย,,
DF-0500136,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากแร็ค,-,,
DF-0200135,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากคันชัก,นอก,350.00,
DF-0200043,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากคันชัก,นอก,350.00,
DF-0600120,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากปีกนก,ล่าง,550.00,
DF-0600033,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากปีกนก,ล่าง,600.00,
DF-0600086,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากปีกนก,บน,550.00,
HB-0200009,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),จานคลัทช์,-,,
HB-0200016,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),จานคลัทช์,-,"1,000.00",
HB-0300012,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),หวีคลัทช์,-,"1,300.00",
Z-02700002,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางหูโช้คอัพ,-,20.00,
HH-0000021,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางหิ้วเพลากลาง,-,650.00,
DH-0500007,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางกันโคลง,หน้า,50.00,
DH-0500075,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางกันโคลง,หน้า,60.00,
DH-0900010,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),บู๊ชหูแหนบ,หน้า,,
DH-0400082,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),บู๊ชปีกนก,ล่าง,180.00,
DH-0400188,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),บู๊ชปีกนก,ล่าง,,
CB-0000006,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ซีลลูกปืนล้อ,หน้า,80.00,
HG-0000001,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),กากบาทเพลากลาง (ยอยเพลากลาง),-,650.00,
DH-0700005,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),หนวดกุ้ง (ชุด),-,140.00,
DF-0900005,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),สกรูกันโคลง,หน้า,80.00,
DF-0400006,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากกล้องยา,-,900.00,
DF-0300004,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกหมากคันส่งอันกลาง,-,"1,400.00",
CA-0000107,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกปืนล้อ,ในหน้า,180.00,
CA-0000110,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกปืนล้อ,นอกหน้า,180.00,
